RowID,Role,Old id,New id,MimeType,New title,Audience,Dest folder id,Dest path,Copied at (UTC)
C0001,view,1VxImUDtWdBTueYffB1vFtfhExH2qmNzG,1vKgaHJfIrq1NQwF84iMlWiKD2kUC8Szu,application/pdf,U00 · Assignment · Science Self-Concept,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0001,copy,1SVG-nqOWOhOhbF_EQogd9t31bvUcUiY2pnWLIx-cDtg,1V9P5xvP7xt1SDq6noi2G-snSWzf74ySRI8kUbF1r9Jo,application/vnd.google-apps.document,U00 · Assignment · Science Self-Concept,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0005,single,1ounzbCw5YoW4LZQ8impX1ePLze-wy6n7qooZiNh5zfI,1w7lHxL_-aQyuLGfjOrQHdqlw7m0z3rBV52TnxO1OvZU,application/vnd.google-apps.presentation,U00 · Assignment · This or That Icebreaker,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0086,single,1TH7I4ePMAQq51KWOedMGsqzDtQevMkhHvmSq5yi5okA,1_bRzcO7uafzrSPZK51iq4sZjId7t_43qiP2HCIZZ7t8,application/vnd.google-apps.document,U00 · Lab · Demonstration CER Organizer,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0008,view,17UE4JnezRtPDlJXpWyru5m3iUWbdkdxY,1hRKgWA_wSiAjXgOq4sxIqFsif0lC8giq,application/pdf,U00 · Assignment · Student Selfie,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0008,copy,1OMWFZQh8UnMzat8AE4qzcFUfz8Xvs-b6GgXsu_i3Vu0,1En-y3kBg_j2n_g_5F0eXLUbuVKYgs_Gh1L5aQYgDmxY,application/vnd.google-apps.spreadsheet,U00 · Assignment · Student Selfie,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0089,single,1REXY1usaQC9c2IraQpB3XPY68AwypBz8FqyUHQL0BPc,1_iKfluWJhsNsgmgJfvnXwUsW1gem939CPY4A7HLyalg,application/vnd.google-apps.document,U00 · Assignment · Reactants and Products Organizer,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0055,view,14pNkxrdkgpTNcDbrRwJfCW-mckZs9_vP,1FfS5Nh12PTzJ7pVjPBzM0CxfBWMbM9Gt,application/pdf,U00 · Lab · Lab Safety Contract,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0055,copy,1JOF1xqMvKDDjcRioWoQQ1jJubQw9s_MFp8m3plfWFME,17IHDeXTpZfYcDV5AG6rhb3EYJ8I6ceqoVc165FeKMQE,application/vnd.google-apps.document,U00 · Lab · Lab Safety Contract,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
C0090,single,10NIwF_8yjo3XquiciejmgF-QUZ7EZeguot_3nsEds3A,1DaJ9k9DCuTjJDUBdYWjNdz92kJldGE5GLFystNOvCSE,application/vnd.google-apps.document,U00 · Activity · Student BINGO,public,14Txn5XqMCyCDKrgQE0GKp4Izg-Se4njW,chemlessons.xyz — Public/Conceptual Chemistry/Unit 00 — Classroom Procedures,2026-07-14T04:25Z
